crop,type,description,image url
Bottle gourd,Kashi Kundal (VRBOG- 16),Attractive pear shaped green fruits medium in size suitable for July to September sowing. Number of fruits 12-14 with average fruit weight of 1.3 to 1.5 kg. Resistant to Downey Mildew. Higher yield (47.5 t/ha) over the check variety. Recommended for cultivation in Uttar Pradesh & notified vide gazette notification number S.O. 692(E) dated 05.02.2019.,static/images/KashiKundal(VRBOG-16).webp
Bottle gourd,Kashi Kirti (VRBOG- 63-02),Fruits are green small cylindrical shape (Gutka type). Resistant to Downey Mildew. Variety is early maturing and high yielding over the check variety. Suitable for distant marketing and transportation due to better post-harvest life. Recommended for cultivation in Uttar Pradesh & notified vide gazette notification number S.O. 692(E) dated 05.02.2019.,static/images/KashiKirti (VRBOG- 63-02).webp
Bottle gourd,Kashi Ganga,This is an early variety derived from the cross IC-92465 x DVBG-151. Fruits are light green length 30 cm diameter 7 cm fruit weight 800-900 g and yield 480-550 q/ha. It is tolerant to anthracnose and suitable for rainy and summer season cultivation. This has been identified by UP State Horticultural Seed Sub Committee and notified during the XII meeting of Central Sub Committee on Crop Standard Notification and Release of Varieties for Horticultural Crops for the cultivation in U.P. Punjab and Jharkhand.,static/images/KashiGanga.jpeg
Bottle gourd,Hybrid -Kashi Bahar,This is a long fruited hybrid with green vine and vigorous growth fruit straight light green length 30-32 cm and average weight 780-850 g and yield 500-550 q/ha. It is suitable for rainy and summer season cultivation. It is tolerant to anthracnose downy mildew and Cercospora leaf spot under field conditions.,static/images/Kashi Bahar (VRH-1).jpg
Bottle gourd,Arka Nutan,Arka Nutan is moderately resistant to gummy stem blight (Didymella bryoniae) with a yield potential of 46 t/ha. Fruits are light green medium cylindrical. This variety will be ready to first picking by 56 days.,static/images/ArkaNutan.jpg
Bottle gourd,Arka Shreyas,Arka Shryas resistant to gummy stem blight (Didymella bryoniae) with yield potential of 48 t/ha. Fruits are green and club shape. This variety will be ready to first picking by 60 days.  It is an open pollinated variety,static/images/ArkaShreyas.jpeg
Bottle gourd,Arka Ganga,F1 hybrid Arka Ganga is resistant to gummy stem blight (Didymella bryoniae) with a yield potential of 58 t/ha. Fruits are green and oblong / oval. This hybrid will be ready to first picking by 56 days after planting. It is an open pollinated variety.,static/images/ArkaGanga.jpg
Potato,Potato,Any kind of Potato,static/images/Potato.jpg
Bottle gourd,Arka Bahar,Fruits medium long straight without crookneck. Light green shining fruit skin when tender (1 kg). Tolerant to blossom end rot. Yield 40-45 t/ha.,static/images/ArkaBahar.webp
Potato,Kufri Sindhuri,Medium round red deep eyes. Moderately resistant to early blight and tolerant to Potato Leaf Roll Virus (PLRV). Slow rate of degeneration. Can tolerate temperature and water stress to some extent. Cropmatures in 110-120 days. Average yield is 40 t/ha. Tolerant to late blightdisease. Suitable for processing.,static/images/KufriSindhuri.jpeg
Potato,Kufri Chandramukhi,Large oval white slightly flattened fleet eyes and dull white flesh. Average yieldis 25 t/ha. Crop matures in 80-90 days. Suitable for instant flakes and chips.,static/images/KufriChandramukhi.jpg
Potato,Kufri Jyoti,Large oval white fleet eyes and white flesh. Crop matures early in hills Average yield in hills 20 t/ha. Moderately resistant to early and late blight. Slow rate of degeneration. It is suitable for processing purpose.,static/images/KufriJyoti.webp
Potato,Kufri Lauvkar,Large round white fleet eyes and white flesh. Able to build up yields rapidly under warmer climate. Crop matures in 75-80 days. Average yield is 30 t/ha. Suitable for chip making,static/images/KufriLauvkar.jpg
Potato,Kufri Badshah,Large oval white fleet eyes dull white flesh and tubers turn purple on exposure to light. Moderately resistant to early and late blight and resistant to Potato Virus X (PVX). Crop matures in 100-110 days. Average yield is 50 t/ha. Suitable for table purpose.,static/images/KufriBadshah.jpg
Potato,Kufri Bahar,Large to medium red round medium deep eyes and white flesh. Crop matures in 100-110 days. Average yield 40t/ha. Moderately resistant to early blight. Resistant to Potato Virus Y (PVY). Not suitable for processing,static/images/KufriBahar.webp
Potato,Kufri Jawahar,Medium round-oval creamy white fleet eyes and pale yellow flesh. Crop matures in 80-90 days. Average yield is 40 t/ha. Moderately resistant to late blight. Suitable in intensive-cropping systems. Suitable for table purpose.,static/images/KufriJawahar.jpg
Potato,Kufri Sutlej,Large oval white fleet eyes and white flesh. Crop matures in 90-100 days. Average yield is 40 t/ha. Moderately resistant to late blight. Suitable for table purpose.,static/images/KufriSutlej.jpg
Potato,Kufri Ashoka,Large oval-long white fleet eyes and white flesh. Susceptible to late light. Crop matures in 70-80 days Average yield is 40 t/ha. Suitable for tablepurpose.,static/images/KufriAshoka.webp
Potato,Kufri Pukhraj,Large oval slightly tapered white fleet eyes and yellow flesh. Crop matures in 70-90 days. Average yield is 40t/ha. Resistant to early blight and moderately resistant to late blight. Suitable for table purpose.,static/images/KufriPukhraj.jpeg
Potato,Kufri Chipsona-1,Medium to large oval white fleet eyes and dull white flesh. Crop matures in 90-110 days. Average yield is 40 t/ha. Resistant to late blight and tolerant to frost. Suitable for making chips and French fries.,static/images/KufriChipsona1.jpg
Potato,Kufri Chipsona-2,Medium Round-oval white fleet eyes and yellow flesh. Crop matures in 90-110 days. Average yield is 35 t/ha. Resistant to late blight and tolerant to frost. Suitable for making chips and French fries.,static/images/KufriChipsona-2.jpeg
Potato,Kufri Anand,Medium oval-long white flattened fleet eyes smooth skin and white flesh. Resistant to late blight and tolerant to frost. Average yield is 35-40 t/ha. Crop matures in 100-110 days. Suitable for preparing French fries.,static/images/KufriAnand.webp
